name,url,id,cb_rank,about,industries,operating_status,social_media_links,founded_date,num_employees,country_code,website,location
Hall Capital Partners,https://www.crunchbase.com/organization/hall-capital-partners,hall-capital-partners,8106,SEC-registered investment advisor,"[{""id"":""finance"",""value"":""Finance""},{""id"":""financial-services"",""value"":""Financial Services""},{""id"":""venture-capital-b37d"",""value"":""Venture Capital""}]",active,"[""https://www.linkedin.com/company/hall-capital-partners-llc""]",1994-01-01,101-250,US,http://www.hallcapital.com,"[{""name"":""San Francisco"",""permalink"":""san-francisco-california""},{""name"":""California"",""permalink"":""california-united-states""},{""name"":""United States"",""permalink"":""united-states""},{""name"":""North America"",""permalink"":""north-america""}]"
Ball State University,https://www.crunchbase.com/organization/ball-state-university,ball-state-university,348,Ball State University is a public research university offers bachelor's degrees and graduate programs.,"[{""id"":""education"",""value"":""Education""},{""id"":""higher-education"",""value"":""Higher Education""},{""id"":""universities"",""value"":""Universities""}]",active,"[""https://www.facebook.com/ballstate"",""https://www.linkedin.com/company/ball-state-university"",""https://twitter.com/BallState""]",1918-01-01,nan,US,http://www.bsu.edu,"[{""name"":""Muncie"",""permalink"":""muncie-indiana""},{""name"":""Indiana"",""permalink"":""indiana-united-states""},{""name"":""United States"",""permalink"":""united-states""},{""name"":""North America"",""permalink"":""north-america""}]"
University of Northern Colorado,https://www.crunchbase.com/organization/university-of-northern-colorado,university-of-northern-colorado,175948,The University of Northern Colorado is a public baccalaureate and graduate research university six colleges.,"[{""id"":""education"",""value"":""Education""},{""id"":""higher-education"",""value"":""Higher Education""},{""id"":""universities"",""value"":""Universities""}]",active,"[""http://www.facebook.com/universitynortherncolorado"",""https://www.linkedin.com/school/university-of-northern-colorado/"",""https://twitter.com/UNC_Colorado""]",1889-04-01,1001-5000,US,http://www.unco.edu/,"[{""name"":""Greeley"",""permalink"":""greeley-colorado""},{""name"":""Colorado"",""permalink"":""colorado-united-states""},{""name"":""United States"",""permalink"":""united-states""},{""name"":""North America"",""permalink"":""north-america""}]"
World Pulse,https://www.crunchbase.com/organization/world-pulse,world-pulse,258839,World Pulse is a non-profit organization that works to connect women worldwide and bring them a global voice.,"[{""id"":""non-profit"",""value"":""Non Profit""},{""id"":""service-industry"",""value"":""Service Industry""},{""id"":""womens"",""value"":""Women's""}]",active,"[""http://www.facebook.com/worldpulsemedia"",""https://www.linkedin.com/company/world-pulse/"",""http://twitter.com/WorldPulse""]",2004-01-01,11-50,US,http://www.worldpulse.com/,"[{""name"":""Portland"",""permalink"":""portland-oregon""},{""name"":""Oregon"",""permalink"":""oregon-united-states""},{""name"":""United States"",""permalink"":""united-states""},{""name"":""North America"",""permalink"":""north-america""}]"
Kewaunee Scientific Corporation,https://www.crunchbase.com/organization/kewaunee-scientific-corporation,kewaunee-scientific-corporation,770925,Kewaunee Scientific Corporation is a company that offers manufacture and installation of laboratory products.,"[{""id"":""biotechnology"",""value"":""Biotechnology""},{""id"":""manufacturing"",""value"":""Manufacturing""}]",active,"[""https://www.linkedin.com/company/kewaunee""]",1906-01-01,51-100,IN,http://kewaunee.in/,"[{""name"":""Bangalore"",""permalink"":""bangalore-karnataka""},{""name"":""Karnataka"",""permalink"":""karnataka-india""},{""name"":""India"",""permalink"":""india""},{""name"":""Asia"",""permalink"":""asia""}]"
Aperio Health,https://www.crunchbase.com/organization/aperio-health,aperio-health,799948,Aperio was created to bring clarity to healthcare.,"[{""id"":""delivery"",""value"":""Delivery""},{""id"":""health-care"",""value"":""Health Care""},{""id"":""information-technology-dbca"",""value"":""Information Technology""}]",active,"[""https://www.facebook.com/aperiohealth/"",""https://www.linkedin.com/company-beta/22326304/"",""https://twitter.com/aperiohealth""]",2016-01-01,1-10,US,http://www.aperiohealth.com/,"[{""name"":""Baltimore"",""permalink"":""baltimore-maryland""},{""name"":""Maryland"",""permalink"":""maryland-united-states""},{""name"":""United States"",""permalink"":""united-states""},{""name"":""North America"",""permalink"":""north-america""}]"
US Department of Energy,https://www.crunchbase.com/organization/us-department-of-energy,us-department-of-energy,2425,"US Department of Energy is a government administration that regulates energy policy, research, and development.","[{""id"":""energy-0ff0"",""value"":""Energy""},{""id"":""energy-efficiency"",""value"":""Energy Efficiency""},{""id"":""energy-management"",""value"":""Energy Management""},{""id"":""finance"",""value"":""Finance""}]",active,"[""http://www.facebook.com/energygov"",""https://www.linkedin.com/company/energy"",""http://www.twitter.com/energy""]",1977-08-04,10001+,US,http://www.energy.gov,"[{""name"":""Washington"",""permalink"":""washington-district-of-columbia""},{""name"":""District of Columbia"",""permalink"":""district-of-columbia-united-states""},{""name"":""United States"",""permalink"":""united-states""},{""name"":""North America"",""permalink"":""north-america""}]"
Themis,https://www.crunchbase.com/organization/themis-42d8,themis-42d8,10971,"Themis is a collaborative governance, risk, and compliance platform.","[{""id"":""fintech-e067"",""value"":""FinTech""},{""id"":""software"",""value"":""Software""}]",active,"[""https://www.linkedin.com/company/askthemis/"",""https://twitter.com/ask_themis""]",2020-01-01,11-50,US,https://www.askthemis.com/,"[{""name"":""Atlanta"",""permalink"":""atlanta-georgia""},{""name"":""Georgia"",""permalink"":""georgia-united-states""},{""name"":""United States"",""permalink"":""united-states""},{""name"":""North America"",""permalink"":""north-america""}]"
Sacred Heart University,https://www.crunchbase.com/organization/sacred-heart-university,sacred-heart-university,455,"Sacred Heart University in the liberal arts and Catholic intellectual traditions, mission of company educate the whole person.","[{""id"":""higher-education"",""value"":""Higher Education""},{""id"":""nursing-and-residential-care"",""value"":""Nursing and Residential Care""},{""id"":""universities"",""value"":""Universities""}]",active,"[""http://www.facebook.com/119331371443492"",""http://www.linkedin.com/edu/sacred-heart-university-18028"",""http://twitter.com/sacredheartuniv""]",1963-01-01,nan,US,https://www.sacredheart.edu/,"[{""name"":""Fairfield"",""permalink"":""fairfield-connecticut""},{""name"":""Connecticut"",""permalink"":""connecticut-united-states""},{""name"":""United States"",""permalink"":""united-states""},{""name"":""North America"",""permalink"":""north-america""}]"
Windstream,https://www.crunchbase.com/organization/windstream,windstream,62203,"Windstream Communications provides voice and data network communications, and managed services to businesses in the United States.","[{""id"":""mobile"",""value"":""Mobile""},{""id"":""telecommunications"",""value"":""Telecommunications""}]",active,"[""https://www.facebook.com/windstreamconnects"",""http://www.linkedin.com/company/windstream-communications"",""http://twitter.com/windstream""]",2006-03-01,10001+,US,http://www.windstream.com,"[{""name"":""Little Rock"",""permalink"":""little-rock-arkansas""},{""name"":""Arkansas"",""permalink"":""arkansas-united-states""},{""name"":""United States"",""permalink"":""united-states""},{""name"":""North America"",""permalink"":""north-america""}]"
